Date,Price,Open,High,Low,Vol.,Change %,,,rank,commentCount,likeCount,,,,,type1,value1,,gender,
6-Feb,10993.41,10862.14,11159.18,10737.67,5.76B,1.18%,184,,10,195,1634,,,,,,,,F,
6-Mar,11109.32,10993.25,11334.96,10922.73,6.68B,1.05%,183,,11,107,1600,,,,,,,,F,
6-Apr,11367.14,11113,11417.66,11039.12,5.58B,2.32%,182,,12,68,1557,,,,,,,,M,
6-May,11168.31,11367.78,11670.19,11030.47,7.30B,-1.75%,181,,13,198,1459,,,,,,,,F,
6-Jun,11150.22,11169.03,11285.82,10698.85,6.92B,-0.16%,180,,14,69,1432,,,,,,,,F,
6-Jul,11185.68,11149.34,11257.08,10683.32,5.55B,0.32%,179,,15,86,1265,,,,,,,,F,
6-Aug,11381.15,11184.8,11407.08,11042.64,4.62B,1.75%,178,,16,147,1264,,,,,,,,F,
6-Sep,11679.07,11382.75,11741.99,11323.84,4.49B,2.62%,177,,17,45,1212,,,,,,,,F,
6-Oct,12080.73,11678.99,12167.02,11653.06,5.54B,3.44%,176,,18,46,1174,,,,,,,,F,
6-Nov,12221.93,12080.25,12361,11965.31,4.72B,1.17%,175,,19,186,1154,,,,,,,,M,
6-Dec,12463.15,12220.97,12529.88,12089.98,4.34B,1.97%,174,,20,43,1147,,,,,,,,F,
7-Jan,12621.69,12459.54,12657.02,12337.37,4.99B,1.27%,173,,21,398,1083,,,,,,,,F,
7-Feb,12268.63,12617.2,12795.93,12086.06,4.35B,-2.80%,172,,22,32,1069,,,,,,,,F,
7-Mar,12354.35,12265.59,12511.05,11939.61,5.63B,0.70%,171,,23,55,1058,,,,,,,,F,
7-Apr,13062.91,12354.52,13162.06,12324.28,4.82B,5.74%,170,,24,118,1054,,,,,,,,F,
7-May,13627.64,13062.75,13673.07,13041.3,4.99B,4.32%,169,,25,44,1051,,,,,,,,F,
7-Jun,13408.62,13628.69,13692,13251.53,5.22B,-1.61%,168,,26,28,1048,,,,,,,,F,
7-Jul,13211.99,13409.6,14021.95,13199.79,5.51B,-1.47%,167,,27,177,1030,,,,,,,,M,
7-Aug,13357.74,13211.09,13695.82,12517.94,6.20B,1.10%,166,,28,54,982,,,,,,,,F,
7-Sep,13895.63,13358.39,13924.81,13021.93,4.33B,4.03%,165,,29,41,959,,,,,,,,F,
7-Oct,13930.01,13895.71,14198.1,13407.49,5.01B,0.25%,164,,30,734,955,,,,,,,,M,
7-Nov,13371.72,13924.16,13924.16,12724.09,5.98B,-4.01%,163,,1,138,4152,,,,,,,,F,
7-Dec,13264.82,13368.22,13780.11,13092,4.31B,-0.80%,162,,2,744,3677,,,,,,,,F,
8-Jan,12650.36,13261.82,13279.54,11634.82,7.46B,-4.63%,161,,3,119,3139,,,,,,,,M,
8-Feb,12266.39,12638.17,12767.74,12069.47,5.72B,-3.04%,160,,4,79,2658,,,,,,,,F,
8-Mar,12262.89,12264.36,12622.07,11731.6,6.23B,-0.03%,159,,5,128,2638,,,,,,,,F,
8-Apr,12820.13,12266.64,13010,12266.47,5.05B,4.54%,158,,6,111,2309,,,,,,,,F,
8-May,12638.32,12818.34,13136.69,12442.59,4.53B,-1.42%,157,,7,173,2292,,,,,,,,F,
8-Jun,11350.01,12637.67,12638.08,11287.56,5.31B,-10.19%,156,,8,71,2165,,,,,,,,F,
8-Jul,11378.02,11344.64,11698.17,10827.71,5.52B,0.25%,155,,9,531,2114,,,,,,,,F,
8-Aug,11543.55,11379.89,11867.11,11221.53,3.58B,1.45%,154,,10,276,2074,,,,,,,,M,
8-Sep,10850.66,11545.63,11790.17,10365.45,6.30B,-6.00%,153,,11,193,1887,,,,,,,,F,
8-Oct,9325.01,10847.4,10882.52,7882.51,8.31B,-14.06%,152,,12,86,1422,,,,,,,,F,
8-Nov,8829.04,9326.04,9653.95,7449.38,6.26B,-5.32%,151,,13,82,1347,,,,,,,,F,
8-Dec,8776.39,8826.89,9026.41,8118.5,5.70B,-0.60%,150,,14,264,1285,,,,,,,,M,
9-Jan,8000.86,8772.25,9088.06,7909.03,6.26B,-8.84%,149,,15,37,1230,,,,,,,,F,
9-Feb,7062.93,8000.62,8315.07,7033.62,7.13B,-11.72%,148,,16,263,1228,,,,,,,,F,
9-Mar,7608.92,7056.48,7931.33,6469.95,10.56B,7.73%,147,,17,35,1122,,,,,,,,M,
9-Apr,8168.12,7606.13,8307.51,7483.87,7.80B,7.35%,146,,18,148,1081,,,,,,,,M,
9-May,8500.33,8167.41,8591.93,8099.31,6.73B,4.07%,145,,19,151,1059,,,,,,,,F,
9-Jun,8447,8501.53,8877.93,8259.43,5.52B,-0.63%,144,,20,117,1019,,,,,,,,M,
9-Jul,9171.61,8447.53,9246.43,8087.19,4.90B,8.58%,143,,21,46,915,,,,,,,,F,
9-Aug,9496.28,9173.65,9630.2,9116.52,4.04B,3.54%,142,,22,44,901,,,,,,,,F,
9-Sep,9712.28,9492.32,9917.99,9252.93,4.48B,2.27%,141,,23,12,884,,,,,,,,M,
9-Oct,9712.73,9711.6,10119.47,9430.08,5.15B,0.00%,140,,24,73,865,,,,,,,,F,
9-Nov,10344.84,9712.13,10495.61,9678.95,3.81B,6.51%,139,,25,213,808,,,,,,,,M,
9-Dec,10428.05,10343.82,10580.33,10235.63,4.17B,0.80%,138,,26,23,787,,,,,,,,F,
10-Jan,10067.33,10430.69,10729.89,10043.75,4.39B,-3.46%,137,,27,57,779,,,,,,,,M,
10-Feb,10325.26,10068.99,10438.55,9835.09,4.28B,2.56%,136,,28,55,706,,,,,,,,F,
10-Mar,10856.63,10326.1,10955.48,10326.1,4.39B,5.15%,135,,29,242,680,,,,,,,,F,
10-Apr,11008.61,10857.31,11258.01,10844.09,4.24B,1.40%,134,,30,30,617,,,,,,,,F,
10-May,10136.63,11009.6,11177.67,9774.48,5.61B,-7.92%,133,,1,3967,6320,,,,,,,,F,
10-Jun,9774.02,10133.94,10594.16,9753.84,4.94B,-3.58%,132,,2,165,3375,,,,,,,,F,
10-Jul,10465.94,9773.27,10584.99,9614.32,4.20B,7.08%,131,,3,271,3194,,,,,,,,F,
10-Aug,10014.72,10468.82,10719.94,9936.62,4.12B,-4.31%,130,,4,84,2718,,,,,,,,F,
10-Sep,10788.05,10016.01,10948.88,10016.01,3.76B,7.72%,129,,5,190,2555,,,,,,,,F,
10-Oct,11118.49,10789.72,11247.6,10711.12,3.79B,3.06%,128,,6,35,1999,,,,,,,,F,
10-Nov,11006.02,11120.3,11451.53,10929.28,3.81B,-1.01%,127,,7,240,1929,,,,,,,,F,
10-Dec,11577.51,11007.23,11625,11007.23,3.25B,5.19%,126,,8,508,1916,,,,,,,,F,
11-Jan,11891.93,11577.43,12020.52,11573.87,3.68B,2.72%,125,,9,71,1902,,,,,,,,M,
11-Feb,12226.34,11892.5,12391.29,11892.5,3.22B,2.81%,124,,10,57,1818,,,,,,,,F,
11-Mar,12319.73,12226.49,12383.46,11555.48,3.85B,0.76%,123,,11,177,1780,,,,,,,,M,
11-Apr,12810.54,12321.02,12832.83,12093.89,3.32B,3.98%,122,,12,754,1643,,,,,,,,M,
11-May,12569.79,12810.16,12876,12309.52,3.58B,-1.88%,121,,13,225,1608,,,,,,,,M,
11-Jun,12414.34,12569.41,12569.49,11862.53,3.88B,-1.24%,120,,14,122,1535,,,,,,,,F,
11-Jul,12143.24,12412.07,12753.89,12083.45,3.09B,-2.18%,119,,15,254,1438,,,,,,,,F,
11-Aug,11613.53,12144.22,12282.42,10604.07,6.20B,-4.36%,118,,16,168,1392,,,,,,,,F,
11-Sep,10913.38,11613.3,11716.84,10597.14,4.40B,-6.03%,117,,17,179,1391,,,,,,,,F,
11-Oct,11955.01,10912.1,12284.31,10404.49,3.91B,9.54%,116,,18,84,1373,,,,,,,,M,
11-Nov,12045.68,11951.53,12187.51,11231.56,3.40B,0.76%,115,,19,37,1318,,,,,,,,M,
11-Dec,12217.56,12046.21,12328.47,11735.19,3.15B,1.43%,114,,20,146,1311,,,,,,,,F,
12-Jan,12632.91,12221.19,12841.95,12221.19,2.98B,3.40%,113,,21,41,1257,,,,,,,,M,
12-Feb,12952.07,12632.76,13055.75,12632.76,2.71B,2.53%,112,,22,63,1243,,,,,,,,F,
12-Mar,13212.04,12952.29,13289.08,12734.86,3.20B,2.01%,111,,23,183,1135,,,,,,,,F,
12-Apr,13213.63,13211.36,13297.11,12710.56,2.57B,0.01%,110,,24,365,1088,,,,,,,,F,
12-May,12393.45,13214.16,13338.66,12311.56,3.05B,-6.21%,109,,25,38,1072,,,,,,,,F,
12-Jun,12880.09,12391.56,12898.94,12035.09,2.92B,3.93%,108,,26,162,1069,,,,,,,,M,
12-Jul,13008.68,12879.71,13128.64,12492.25,2.58B,1.00%,107,,27,23,1033,,,,,,,,F,
12-Aug,13090.84,13007.47,13330.76,12778.9,2.27B,0.63%,106,,28,76,1033,,,,,,,,M,
12-Sep,13437.13,13092.15,13653.24,12977.09,2.70B,2.65%,105,,29,135,979,,,,,,,,M,
12-Oct,13096.46,13437.66,13661.87,13039.86,2.47B,-2.54%,104,,30,48,965,,,,,,,,F,
12-Nov,13025.58,13099.19,13290.75,12471.49,2.68B,-0.54%,103,,1,313,4003,,,,,,,,M,
12-Dec,13104.14,13027.73,13365.86,12883.89,2.67B,0.60%,102,,2,179,3127,,,,,,,,F,
13-Jan,13860.58,13104.3,13969.99,13104.3,2.79B,5.77%,101,,3,220,2757,,,,,,,,M,
13-Feb,14054.49,13860.58,14149.15,13784.01,2.49B,1.40%,100,,4,92,2746,,,,,,,,M,
13-Mar,14578.54,14054.49,14585.1,13937.6,2.55B,3.73%,99,,5,296,2633,,,,,,,,M,
13-Apr,14839.8,14578.54,14887.51,14434.43,2.92B,1.79%,98,,6,119,2587,,,,,,,,F,
13-May,15115.57,14839.8,15542.4,14687.05,2.77B,1.86%,97,,7,147,2271,,,,,,,,F,
13-Jun,14909.6,15123.55,15340.09,14551.27,2.93B,-1.36%,96,,8,102,2077,,,,,,,,F,
13-Jul,15499.54,14911.6,15634.32,14858.93,2.57B,3.96%,95,,9,166,1730,,,,,,,,M,
13-Aug,14810.31,15503.85,15658.43,14760.41,2.33B,-4.45%,94,,10,84,1728,,,,,,,,F,
13-Sep,15129.67,14801.55,15709.58,14777.48,2.37B,2.16%,93,,11,69,1391,,,,,,,,M,
13-Oct,15545.75,15132.49,15721,14719.43,2.21B,2.75%,92,,12,33,1272,,,,,,,,F,
13-Nov,16086.41,15558.01,16174.51,15522.18,1.82B,3.48%,91,,13,76,1226,,,,,,,,F,
13-Dec,16576.66,16087.12,16588.25,15703.79,2.06B,3.05%,90,,14,161,1208,,,,,,,,F,
14-Jan,15698.85,16572.17,16573.07,15617.55,2.18B,-5.30%,89,,15,137,1096,,,,,,,,F,
14-Feb,16321.71,15697.69,16398.95,15340.69,2.07B,3.97%,88,,16,59,1045,,,,,,,,F,
14-Mar,16457.66,16321.71,16505.7,16046.99,2.10B,0.83%,87,,17,20,1041,,,,,,,,F,
14-Apr,16580.84,16458.05,16631.63,16015.32,1.99B,0.75%,86,,18,131,1015,,,,,,,,F,
14-May,16717.17,16580.26,16735.51,16341.3,1.64B,0.82%,85,,19,59,953,,,,,,,,F,
14-Jun,16826.6,16716.85,16978.02,16673.65,1.76B,0.65%,84,,20,345,892,,,,,,,,F,
14-Jul,16563.3,16828.53,17151.56,16563.3,1.69B,-1.56%,83,,21,19,882,,,,,,,,F,
14-Aug,17098.45,16561.7,17153.8,16333.78,1.48B,3.23%,82,,22,88,871,,,,,,,,F,
14-Sep,17042.9,17097.42,17350.64,16934.43,1.87B,-0.32%,81,,23,65,859,,,,,,,,F,
14-Oct,17390.52,17040.46,17395.54,15855.12,2.31B,2.04%,80,,24,136,842,,,,,,,,F,
14-Nov,17828.24,17390.9,17894.83,17278.36,1.52B,2.52%,79,,25,167,802,,,,,,,,D,
14-Dec,17823.07,17827.27,18103.45,17067.59,2.22B,-0.03%,78,,26,19,798,,,,,,,,F,
15-Jan,17164.95,17823.07,17951.78,17136.3,2.17B,-3.69%,77,,27,75,761,,,,,,,,F,
15-Feb,18132.7,17169.99,18244.38,17037.76,1.75B,5.64%,76,,28,11,744,,,,,,,,F,
15-Mar,17776.12,18134.05,18288.63,17579.27,2.47B,-1.97%,75,,29,25,726,,,,,,,,F,
15-Apr,17840.52,17778.52,18175.56,17585.01,2.17B,0.36%,74,,30,212,712,,,,,,,,F,
15-May,18010.68,17859.27,18351.36,17733.12,1.83B,0.95%,73,,1,129,4083,,,,,,,,M,
15-Jun,17619.51,18017.82,18188.81,17576.5,2.22B,-2.17%,72,,2,204,3708,,,,,,,,F,
15-Jul,17689.86,17638.12,18137.12,17399.17,2.03B,0.40%,71,,3,520,2932,,,,,,,,F,
15-Aug,16528.03,17696.74,17704.76,15370.33,2.73B,-6.57%,70,,4,256,2693,,,,,,,,M,
15-Sep,16284.7,16528.03,16933.43,15942.37,2.72B,-1.47%,69,,5,187,1864,,,,,,,,M,
15-Oct,17663.54,16278.62,17799.96,16013.66,2.61B,8.47%,68,,6,498,1862,,,,,,,,F,
15-Nov,17719.92,17672.62,17977.85,17210.43,2.30B,0.32%,67,,7,25,1575,,,,,,,,M,
15-Dec,17425.03,17719.72,17901.58,17116.73,2.52B,-1.66%,66,,8,22,1406,,,,,,,,M,
16-Jan,16466.3,17405.48,17405.48,15450.56,2.84B,-5.50%,65,,9,243,1298,,,,,,,,F,
16-Feb,16516.5,16453.63,16795.98,15503.01,2.49B,0.30%,64,,10,62,1272,,,,,,,,F,
16-Mar,17685.09,16545.67,17790.11,16545.67,2.41B,7.08%,63,,11,71,1179,,,,,,,,F,
16-Apr,17773.64,17661.74,18167.63,17484.23,2.10B,0.50%,62,,12,83,1170,,,,,,,,F,
16-May,17787.2,17783.78,17934.61,17331.07,1.88B,0.08%,61,,13,17,1116,,,,,,,,F,
16-Jun,17929.99,17754.55,18016,17063.08,2.35B,0.80%,60,,14,301,1114,,,,,,,,F,
16-Jul,18432.24,17924.24,18622.01,17713.45,1.82B,2.80%,59,,15,127,1083,,,,,,,,F,
16-Aug,18400.88,18434.5,18668.44,18247.79,1.70B,-0.17%,58,,16,58,1064,,,,,,,,F,
16-Sep,18308.15,18396.57,18551.54,17992.21,2.10B,-0.50%,57,,17,117,1022,,,,,,,,F,
16-Oct,18142.42,18279.6,18399.96,17959.95,1.79B,-0.91%,56,,18,134,1018,,,,,,,,F,
16-Nov,19123.58,18158.24,19225.29,17883.56,2.11B,5.41%,55,,19,37,996,,,,,,,,M,
16-Dec,19762.6,19149.2,19987.63,19138.79,5.95B,3.34%,54,,20,275,987,,,,,,,,F,
17-Jan,19864.09,19872.86,20125.58,19677.94,6.48B,0.51%,53,,21,419,970,,,,,,,,F,
17-Feb,20812.24,19923.81,20851.33,19831.09,6.19B,4.77%,52,,22,79,947,,,,,,,,F,
17-Mar,20663.22,20957.29,21169.11,20412.8,6.94B,-0.72%,51,,23,82,862,,,,,,,,F,
17-Apr,20940.51,20665.17,21070.9,20379.55,5.39B,1.34%,50,,24,22,859,,,,,,,,M,
17-May,21008.65,20962.73,21112.32,20553.45,6.61B,0.33%,49,,25,35,820,,,,,,,,F,
17-Jun,21349.63,21030.55,21535.03,20994.22,7.21B,1.62%,48,,26,144,801,,,,,,,,F,
17-Jul,21891.12,21392.3,21929.8,21279.3,5.57B,2.54%,47,,27,142,761,,,,,,,,M,
17-Aug,21948.1,21961.42,22179.11,21600.34,6.15B,0.26%,46,,28,82,723,,,,,,,,M,
17-Sep,22405.09,21981.77,22419.51,21709.63,6.34B,2.08%,45,,29,271,706,,,,,,,,F,
17-Oct,23377.24,22423.47,23485.25,22416,7.30B,4.34%,44,,30,55,670,,,,,,,,F,
17-Nov,24272.35,23442.9,24327.82,23242.75,7.34B,3.83%,43,,1,63,3970,,,,,,,,F,
17-Dec,24719.22,24305.4,24876.07,23921.9,6.59B,1.84%,42,,2,127,2446,,,,,,,,F,
18-Jan,26149.39,24809.35,26616.71,24741.7,9.12B,5.79%,41,,3,79,2180,,,,,,,,M,
18-Feb,25029.2,26083.04,26306.7,23360.29,9.45B,-4.28%,40,,4,284,1819,,,,,,,,M,
18-Mar,24103.11,25024.04,25449.15,23509.06,8.87B,-3.70%,39,,5,62,1759,,,,,,,,M,
18-Apr,24163.15,24076.6,24858.97,23344.52,8.06B,0.25%,38,,6,599,1665,,,,,,,,M,
18-May,24415.84,24117.29,25086.49,23531.31,7.28B,1.05%,37,,7,68,1636,,,,,,,,F,
18-Jun,24271.41,24542.09,25402.83,23997.21,7.41B,-0.59%,36,,8,155,1560,,,,,,,,F,
18-Jul,25415.19,24161.53,25587.24,24077.56,5.41B,4.71%,35,,9,35,1303,,,,,,,,M,
18-Aug,25964.82,25461.63,26167.94,24965.77,5.64B,2.16%,34,,10,35,1232,,,,,,,,F,
18-Sep,26458.31,25916.07,26769.16,25754.32,5.26B,1.90%,33,,11,668,1227,,,,,,,,F,
18-Oct,25115.76,26598.36,26951.81,24122.23,8.37B,-5.07%,32,,12,99,1227,,,,,,,,F,
18-Nov,25538.46,25142.08,26277.82,24268.74,7.23B,1.68%,31,,13,106,1083,,,,,,,,M,
18-Dec,23327.46,25779.57,25980.21,21712.53,8.10B,-8.66%,30,,14,358,1030,,,,,,,,F,
19-Jan,24999.67,23058.61,25109.62,22638.41,7.19B,7.17%,29,,15,24,987,,,,,,,,M,
19-Feb,25916,25025.31,26241.42,24883.04,5.43B,3.67%,28,,16,111,919,,,,,,,,F,
